detector,fraction,method,metric,projects,median,q25,q75
codebert,0.75,vultriage_full_gate_clip_20,brier,24,0.20306575656672493,0.1732672829938936,0.23580358104544363
codebert,1.0,estimated_weight_no_gate_clip_20,vulnerable_miscoverage,24,0.2244255587031791,0.17441513487705895,0.3814080656185919
codebert,1.0,estimated_weight_no_gate_clip_20,safe_miscoverage,24,0.18935361575314044,0.1659603260875897,0.25419356609442983
codebert,1.0,estimated_weight_no_gate_clip_20,vulnerable_violation,24,0.12442555870317909,0.07441513487705895,0.28140806561859194
codebert,1.0,estimated_weight_no_gate_clip_20,safe_violation,24,0.0,0.0,0.05419356609442981
codebert,1.0,estimated_weight_no_gate_clip_20,max_relative_violation,24,1.2442555870317906,0.7441513487705894,2.814080656185919
codebert,1.0,estimated_weight_no_gate_clip_20,singleton_coverage,24,0.7489720078149061,0.6974430431642036,0.7770742560489479
codebert,1.0,estimated_weight_no_gate_clip_20,review_load,24,0.2510279921850939,0.2229257439510522,0.3025569568357964
codebert,1.0,estimated_weight_no_gate_clip_20,pr_auc,24,0.19275838277662577,0.14115407846153,0.2781983403143705
codebert,1.0,estimated_weight_no_gate_clip_20,brier,24,0.20306575656672493,0.1732672829938936,0.23580358104544363
codebert,1.0,unweighted_mondrian,vulnerable_miscoverage,24,0.21598617355822958,0.14358959219020626,0.31525735294117646
codebert,1.0,unweighted_mondrian,safe_miscoverage,24,0.22214398956063364,0.17929312926541308,0.2838185587701741
codebert,1.0,unweighted_mondrian,vulnerable_violation,24,0.11598617355822959,0.04358959219020625,0.21525735294117648
codebert,1.0,unweighted_mondrian,safe_violation,24,0.02214398956063364,0.0,0.08381855877017408
codebert,1.0,unweighted_mondrian,max_relative_violation,24,1.2383562366934702,0.8687113589526002,2.1525735294117645
codebert,1.0,unweighted_mondrian,singleton_coverage,24,0.7680339319368931,0.7391491600184537,0.792038422768907
codebert,1.0,unweighted_mondrian,review_load,24,0.23196606806310688,0.2079615772310931,0.26085083998154623
codebert,1.0,unweighted_mondrian,pr_auc,24,0.19275838277662577,0.14115407846153,0.2781983403143705
codebert,1.0,unweighted_mondrian,brier,24,0.20306575656672493,0.1732672829938936,0.23580358104544363
codebert,1.0,vultriage_full_gate_clip_20,vulnerable_miscoverage,24,0.22120285423037717,0.15271622347569164,0.3215311986863711
codebert,1.0,vultriage_full_gate_clip_20,safe_miscoverage,24,0.17796325815678996,0.1460256033336742,0.24229275553550672
codebert,1.0,vultriage_full_gate_clip_20,vulnerable_violation,24,0.12120285423037716,0.052716223475691645,0.2215311986863711
codebert,1.0,vultriage_full_gate_clip_20,safe_violation,24,0.0,0.0,0.042292755535506724
codebert,1.0,vultriage_full_gate_clip_20,max_relative_violation,24,1.2120285423037713,0.6616122255353755,2.2153119868637106
codebert,1.0,vultriage_full_gate_clip_20,singleton_coverage,24,0.724719636308756,0.6896147224628957,0.7743197748476208
codebert,1.0,vultriage_full_gate_clip_20,review_load,24,0.275280363691244,0.22568022515237923,0.3103852775371043
codebert,1.0,vultriage_full_gate_clip_20,pr_auc,24,0.19275838277662577,0.14115407846153,0.2781983403143705
codebert,1.0,vultriage_full_gate_clip_20,brier,24,0.20306575656672493,0.1732672829938936,0.23580358104544363
hashing,0.25,estimated_weight_no_gate_clip_20,vulnerable_miscoverage,24,0.03944828221423966,0.025283251231527096,0.06703334877257991
hashing,0.25,estimated_weight_no_gate_clip_20,safe_miscoverage,24,0.2150457338360564,0.1548453632184264,0.2256142855194485
hashing,0.25,estimated_weight_no_gate_clip_20,vulnerable_violation,24,0.0,0.0,4.137352653403509e-05
hashing,0.25,estimated_weight_no_gate_clip_20,safe_violation,24,0.01571048711306306,0.0,0.025909708543026863
hashing,0.25,estimated_weight_no_gate_clip_20,max_relative_violation,24,0.0991836734693877,0.0012707032310616318,0.15426535410128844
hashing,0.25,estimated_weight_no_gate_clip_20,singleton_coverage,24,0.3549579268946296,0.3117803248723394,0.4136286768933218
hashing,0.25,estimated_weight_no_gate_clip_20,review_load,24,0.6450420731053703,0.5863713231066782,0.6882196751276607
hashing,0.25,estimated_weight_no_gate_clip_20,pr_auc,24,0.18829996467825189,0.14864246771074013,0.2954434568811911
hashing,0.25,estimated_weight_no_gate_clip_20,brier,24,0.1935714260355828,0.150453493799401,0.23971055808736477
hashing,0.25,unweighted_mondrian,vulnerable_miscoverage,24,0.2126114023591088,0.13783321941216678,0.30666860973477117
hashing,0.25,unweighted_mondrian,safe_miscoverage,24,0.1890932903918411,0.135906408526483,0.2529775817768738
hashing,0.25,unweighted_mondrian,vulnerable_violation,24,0.11261140235910877,0.038823650034176344,0.2066686097347712
hashing,0.25,unweighted_mondrian,safe_violation,24,0.005663123993558773,0.0,0.052977581776873776
hashing,0.25,unweighted_mondrian,max_relative_violation,24,1.2708139583595157,0.7796673411574261,2.066686097347712
hashing,0.25,unweighted_mondrian,singleton_coverage,24,0.6942514616746231,0.6722834058116246,0.7274609823003246
hashing,0.25,unweighted_mondrian,review_load,24,0.30574853832537685,0.27253901769967526,0.3277165941883754
hashing,0.25,unweighted_mondrian,pr_auc,24,0.18829996467825189,0.14864246771074013,0.2954434568811911
hashing,0.25,unweighted_mondrian,brier,24,0.1935714260355828,0.150453493799401,0.23971055808736477
hashing,0.25,vultriage_full_gate_clip_20,vulnerable_miscoverage,24,0.0,0.0,0.0
hashing,0.25,vultriage_full_gate_clip_20,safe_miscoverage,24,0.0,0.0,0.0
hashing,0.25,vultriage_full_gate_clip_20,vulnerable_violation,24,0.0,0.0,0.0
