detector,target_group,fraction,method,vulnerable_miscoverage,safe_miscoverage,vulnerable_violation,safe_violation,max_relative_violation,singleton_coverage,review_load,pr_auc,brier
hashing,krb5,0.5,vultriage_full_gate_clip_20,0.009152542372881356,0.04278820375335121,0.0,0.0031742627345844486,0.015871313672922244,0.0755193482688391,0.9244806517311609,0.30115192706391936,0.27070758267116096
hashing,krb5,0.75,estimated_weight_no_gate_clip_20,0.10677966101694915,0.22380697050938336,0.019932203389830504,0.023806970509383366,0.2583905121097832,0.5015885947046843,0.4984114052953157,0.30115192706391936,0.27070758267116096
hashing,krb5,0.75,unweighted_mondrian,0.19220338983050847,0.29115281501340484,0.09220338983050846,0.09115281501340482,0.9415822238378696,0.6214256619144602,0.3785743380855397,0.30115192706391936,0.27070758267116096
hashing,krb5,0.75,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30115192706391936,0.27070758267116096
hashing,krb5,1.0,estimated_weight_no_gate_clip_20,0.16610169491525426,0.2225201072386059,0.06610169491525424,0.022520107238605886,0.6610169491525423,0.5458248472505092,0.45417515274949083,0.30115192706391936,0.27070758267116096
hashing,krb5,1.0,unweighted_mondrian,0.19152542372881357,0.29168900804289544,0.09152542372881355,0.09168900804289543,0.9194347253146725,0.6232179226069247,0.3767820773930754,0.30115192706391936,0.27070758267116096
hashing,krb5,1.0,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30115192706391936,0.27070758267116096
hashing,librsvg,0.25,estimated_weight_no_gate_clip_20,0.04968421052631578,0.2209391304347826,0.0,0.023582608695652166,0.11791304347826083,0.3210149253731343,0.6789850746268656,0.12882677290459688,0.22283384005525453
hashing,librsvg,0.25,unweighted_mondrian,0.5461052631578948,0.17502608695652175,0.4461052631578947,0.0012521739130434762,4.461052631578947,0.6314029850746269,0.3685970149253731,0.12882677290459688,0.22283384005525453
hashing,librsvg,0.25,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12882677290459688,0.22283384005525453
hashing,librsvg,0.5,estimated_weight_no_gate_clip_20,0.08505263157894737,0.22156521739130436,0.0014736842105263126,0.023860869565217383,0.12177574370709378,0.35982089552238805,0.640179104477612,0.12882677290459688,0.22283384005525453
hashing,librsvg,0.5,unweighted_mondrian,0.5309473684210526,0.17446956521739132,0.43094736842105263,0.0010434782608695636,4.309473684210526,0.6184477611940299,0.3815522388059701,0.12882677290459688,0.22283384005525453
hashing,librsvg,0.5,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12882677290459688,0.22283384005525453
hashing,librsvg,0.75,estimated_weight_no_gate_clip_20,0.14189473684210527,0.22121739130434784,0.04189473684210525,0.022817391304347817,0.4202837528604118,0.4087164179104477,0.5912835820895522,0.12882677290459688,0.22283384005525453
hashing,librsvg,0.75,unweighted_mondrian,0.5465263157894736,0.1744,0.4465263157894737,0.00083478260869565,4.465263157894737,0.631223880597015,0.36877611940298505,0.12882677290459688,0.22283384005525453
hashing,librsvg,0.75,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12882677290459688,0.22283384005525453
hashing,librsvg,1.0,estimated_weight_no_gate_clip_20,0.35578947368421054,0.22017391304347825,0.25578947368421057,0.021565217391304344,2.557894736842105,0.508955223880597,0.49104477611940295,0.12882677290459688,0.22283384005525453
