detector,target_group,alpha_vulnerable,alpha_safe,method,max_relative_violation,vulnerable_violation,safe_violation,singleton_coverage,review_load
codebert,FreeRDP,0.1,0.05,estimated_weight_no_gate_clip_50,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.05,forced_argmax,5.3120567375886525,0.5312056737588653,0.1728843861740167,1.0,0.0
codebert,FreeRDP,0.1,0.05,msp_matched_unweighted_mondrian,3.893617021276595,0.3893617021276595,0.0382002383790226,0.6928571428571428,0.3071428571428571
codebert,FreeRDP,0.1,0.05,msp_matched_vultriage_full_gate,3.4680851063829783,0.3468085106382979,0.0250893921334922,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.05,pooled_split_conformal,2.404255319148936,0.24042553191489363,0.0,0.5265306122448979,0.47346938775510206
codebert,FreeRDP,0.1,0.05,prom_derived_aps,0.0638297872340425,0.0063829787234042,0.0,0.17918367346938768,0.8208163265306123
codebert,FreeRDP,0.1,0.05,prom_derived_lac,2.404255319148936,0.24042553191489363,0.0,0.5265306122448979,0.47346938775510206
codebert,FreeRDP,0.1,0.05,prom_derived_raps,0.0638297872340425,0.0063829787234042,0.0,0.176938775510204,0.8230612244897959
codebert,FreeRDP,0.1,0.05,prom_derived_topk,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.1,0.05,prom_derived_union,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.1,0.05,temperature_msp_matched_unweighted_mondrian,3.893617021276595,0.3893617021276595,0.0382002383790226,0.6928571428571428,0.3071428571428571
codebert,FreeRDP,0.1,0.05,temperature_msp_matched_vultriage_full_gate,3.4680851063829783,0.3468085106382979,0.0250893921334922,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.05,unweighted_mondrian,4.319148936170213,0.4319148936170213,0.0,0.6928571428571428,0.3071428571428571
codebert,FreeRDP,0.1,0.05,vultriage_ess_only_clip_10,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.05,vultriage_ess_only_clip_20,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.05,vultriage_ess_only_clip_50,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.05,vultriage_full_gate_clip_10,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.05,vultriage_full_gate_clip_20,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.05,vultriage_full_gate_clip_50,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.05,vultriage_infinity_only_clip_10,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.05,vultriage_infinity_only_clip_20,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.05,vultriage_infinity_only_clip_50,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.1,entropy_matched_unweighted_mondrian,4.106382978723404,0.41063829787234046,0.002502979737783,0.7448979591836735,0.2551020408163265
codebert,FreeRDP,0.1,0.1,estimated_weight_no_gate_clip_10,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775
codebert,FreeRDP,0.1,0.1,estimated_weight_no_gate_clip_20,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775
codebert,FreeRDP,0.1,0.1,estimated_weight_no_gate_clip_50,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775
codebert,FreeRDP,0.1,0.1,forced_argmax,5.3120567375886525,0.5312056737588653,0.1228843861740166,1.0,0.0
codebert,FreeRDP,0.1,0.1,msp_matched_unweighted_mondrian,4.106382978723404,0.41063829787234046,0.002502979737783,0.7448979591836735,0.2551020408163265
