detector,alpha_vulnerable,alpha_safe,baseline,method,outcome,projects,nonzero_projects,median_paired_difference,hodges_lehmann_paired_shift,bootstrap_median_ci_lower,bootstrap_median_ci_upper,wins,ties,losses,exact_sign_p,wilcoxon_exact_p,holm_adjusted_wilcoxon_p
codebert,0.01,0.2,unweighted_mondrian,vultriage_full_gate_clip_20,singleton_coverage,24,24,-0.049841487454038186,-0.05915598093531291,-0.09460834181078337,-0.022690463433326813,5,0,19,0.006610751152038574,0.002814650535583496,0.006737351417541504
codebert,0.01,0.2,unweighted_mondrian,vultriage_full_gate_clip_20,review_load,24,24,0.04984148745403824,0.059155980935312866,0.026007139214686337,0.09460834181078337,5,0,19,0.006610751152038574,0.002814650535583496,0.006737351417541504
codebert,0.01,0.2,unweighted_mondrian,prom_derived_union,max_relative_violation,24,22,-2.4091184232827296,-3.994723476374853,-6.758620689655173,-1.73972602739726,22,2,0,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-06
codebert,0.01,0.2,unweighted_mondrian,prom_derived_union,vulnerable_violation,24,19,-0.0240911842328272,-0.03781931317321512,-0.0675862068965517,-0.0166663760408038,19,5,0,3.814697265625e-06,3.814697265625e-06,1.9073486328125e-05
codebert,0.01,0.2,unweighted_mondrian,prom_derived_union,safe_violation,24,16,-0.0221439895606336,-0.040800111469836024,-0.06264062431279065,0.0,16,8,0,3.0517578125e-05,3.0517578125e-05,0.000152587890625
codebert,0.01,0.2,unweighted_mondrian,prom_derived_union,singleton_coverage,24,24,-0.42353258991798803,-0.42756687112834,-0.470873786407767,-0.3837076513132851,0,0,24,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539062e-07
codebert,0.01,0.2,unweighted_mondrian,prom_derived_union,review_load,24,24,0.4235325899179881,0.42756687112834013,0.3837076513132851,0.470873786407767,0,0,24,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539062e-07
codebert,0.05,0.05,unweighted_mondrian,estimated_weight_no_gate_clip_20,max_relative_violation,24,20,0.0,0.10607915136678901,-0.3571428571428572,0.3399433427762042,9,4,11,0.8238029479980469,0.6215133666992188,1.0
codebert,0.05,0.05,unweighted_mondrian,estimated_weight_no_gate_clip_20,vulnerable_violation,24,19,0.009896890476577054,0.0154411764705882,0.0,0.0308823529411764,6,5,13,0.1670684814453125,0.044559478759765625,0.1782379150390625
codebert,0.05,0.05,unweighted_mondrian,estimated_weight_no_gate_clip_20,safe_violation,24,10,0.0,-0.004064043829042125,-0.010942384993300597,0.0,9,14,1,0.021484375,0.009765625,0.0390625
