detector,target_group,alpha_vulnerable,alpha_safe,method,vulnerable_violation,safe_violation,max_relative_violation,singleton_coverage,review_load,pr_auc,brier,f1,mcc
codebert,ffmpeg,0.1,0.2,vultriage_full_gate_clip_20,0.008695652173913035,0.005454545454545434,0.08695652173913035,0.7281879194630873,0.27181208053691275,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ghostpdl,0.01,0.05,estimated_weight_no_gate_clip_20,0.12414634146341466,0.0,12.414634146341465,0.2396039603960396,0.7603960396039604,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.01,0.05,unweighted_mondrian,0.0753658536585366,0.0,7.536585365853659,0.2,0.8,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.01,0.05,vultriage_full_gate_clip_20,0.12414634146341466,0.0,12.414634146341465,0.2396039603960396,0.7603960396039604,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.01,0.1,estimated_weight_no_gate_clip_20,0.12414634146341466,0.0,12.414634146341465,0.28316831683168314,0.7168316831683168,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.01,0.1,unweighted_mondrian,0.0753658536585366,0.0,7.536585365853659,0.2613861386138614,0.7386138613861386,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.01,0.1,vultriage_full_gate_clip_20,0.12414634146341466,0.0,12.414634146341465,0.28316831683168314,0.7168316831683168,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.01,0.2,estimated_weight_no_gate_clip_20,0.12414634146341466,0.0,12.414634146341465,0.38514851485148516,0.6148514851485148,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.01,0.2,unweighted_mondrian,0.0753658536585366,0.004741379310344823,7.536585365853659,0.38613861386138615,0.6138613861386139,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.01,0.2,vultriage_full_gate_clip_20,0.12414634146341466,0.0,12.414634146341465,0.38514851485148516,0.6148514851485148,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.05,0.05,estimated_weight_no_gate_clip_20,0.1329268292682927,0.0,2.658536585365854,0.45049504950495056,0.5495049504950495,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.05,0.05,unweighted_mondrian,0.1207317073170732,0.0,2.4146341463414633,0.40693069306930696,0.593069306930693,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.05,0.05,vultriage_full_gate_clip_20,0.1329268292682927,0.0,2.658536585365854,0.45049504950495056,0.5495049504950495,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.05,0.1,estimated_weight_no_gate_clip_20,0.1329268292682927,0.0,2.658536585365854,0.49405940594059405,0.505940594059406,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.05,0.1,unweighted_mondrian,0.1207317073170732,0.0,2.4146341463414633,0.4683168316831684,0.5316831683168317,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
codebert,ghostpdl,0.05,0.1,vultriage_full_gate_clip_20,0.1329268292682927,0.0,2.658536585365854,0.49405940594059405,0.505940594059406,0.1623814766440297,0.18863542710183342,0.24000000000000005,0.1731322776607561
