detector,target_group,alpha_vulnerable,alpha_safe,method_baseline,max_relative_violation_baseline,vulnerable_violation_baseline,safe_violation_baseline,singleton_coverage_baseline,review_load_baseline,method_weighted,max_relative_violation_weighted,vulnerable_violation_weighted,safe_violation_weighted,singleton_coverage_weighted,review_load_weighted,baseline_worst_violation,weighted_worst_violation
codebert,jasper,0.1,0.05,unweighted_mondrian,1.0246913580246912,0.0477832512315271,0.0512345679012345,0.5082236842105263,0.4917763157894736,estimated_weight_no_gate_clip_20,1.0246913580246912,0.0921182266009852,0.0512345679012345,0.5476973684210527,0.4523026315789472,1.0246913580246912,1.0246913580246912
codebert,jasper,0.1,0.1,unweighted_mondrian,0.6049382716049381,0.0477832512315271,0.0604938271604938,0.5970394736842105,0.4029605263157895,estimated_weight_no_gate_clip_20,0.921182266009852,0.0921182266009852,0.0530864197530864,0.6266447368421053,0.3733552631578947,0.6049382716049381,0.921182266009852
codebert,jasper,0.1,0.2,unweighted_mondrian,0.477832512315271,0.0477832512315271,0.0938271604938271,0.7450657894736842,0.2549342105263157,estimated_weight_no_gate_clip_20,0.921182266009852,0.0921182266009852,0.0839506172839505,0.7680921052631579,0.2319078947368421,0.477832512315271,0.921182266009852
codebert,krb5,0.01,0.05,unweighted_mondrian,1.198391420911528,0.0,0.0599195710455764,0.1934826883910387,0.8065173116089615,estimated_weight_no_gate_clip_20,0.4477211796246648,0.0,0.0223860589812332,0.2179226069246435,0.7820773930753564,1.198391420911528,0.4477211796246648
codebert,krb5,0.01,0.1,unweighted_mondrian,1.0643431635388738,0.0,0.1064343163538873,0.3156822810590631,0.6843177189409368,estimated_weight_no_gate_clip_20,0.2868632707774798,0.0,0.0286863270777478,0.2953156822810591,0.7046843177189409,1.0643431635388738,0.2868632707774798
codebert,krb5,0.01,0.2,unweighted_mondrian,1.037533512064343,0.0,0.2075067024128686,0.5112016293279023,0.4887983706720977,estimated_weight_no_gate_clip_20,0.3806970509383378,0.0,0.0761394101876675,0.4623217922606925,0.5376782077393075,1.037533512064343,0.3806970509383378
codebert,krb5,0.05,0.05,unweighted_mondrian,1.198391420911528,0.0008474576271186,0.0599195710455764,0.3279022403258655,0.6720977596741344,estimated_weight_no_gate_clip_20,0.694915254237288,0.0347457627118644,0.0223860589812332,0.3217922606924643,0.6782077393075356,1.198391420911528,0.694915254237288
codebert,krb5,0.05,0.1,unweighted_mondrian,1.0643431635388738,0.0008474576271186,0.1064343163538873,0.45010183299389,0.5498981670061099,estimated_weight_no_gate_clip_20,0.694915254237288,0.0347457627118644,0.0286863270777478,0.3991853360488798,0.6008146639511202,1.0643431635388738,0.694915254237288
codebert,krb5,0.05,0.2,unweighted_mondrian,1.037533512064343,0.0008474576271186,0.2075067024128686,0.6456211812627292,0.3543788187372709,estimated_weight_no_gate_clip_20,0.694915254237288,0.0347457627118644,0.0761394101876675,0.5661914460285132,0.4338085539714867,1.037533512064343,0.694915254237288
codebert,krb5,0.1,0.05,unweighted_mondrian,1.198391420911528,0.0271186440677966,0.0599195710455764,0.4215885947046843,0.5784114052953157,estimated_weight_no_gate_clip_20,0.694915254237288,0.0694915254237288,0.0223860589812332,0.4256619144602851,0.5743380855397149,1.198391420911528,0.694915254237288
codebert,krb5,0.1,0.1,unweighted_mondrian,1.0643431635388738,0.0271186440677966,0.1064343163538873,0.5437881873727087,0.4562118126272912,estimated_weight_no_gate_clip_20,0.694915254237288,0.0694915254237288,0.0286863270777478,0.5030549898167006,0.4969450101832994,1.0643431635388738,0.694915254237288
codebert,krb5,0.1,0.2,unweighted_mondrian,1.037533512064343,0.0271186440677966,0.2075067024128686,0.7393075356415478,0.2606924643584521,estimated_weight_no_gate_clip_20,0.694915254237288,0.0694915254237288,0.0761394101876675,0.670061099796334,0.329938900203666,1.037533512064343,0.694915254237288
codebert,librsvg,0.01,0.05,unweighted_mondrian,7.421052631578948,0.0742105263157894,0.0,0.2029850746268656,0.7970149253731343,estimated_weight_no_gate_clip_20,14.789473684210524,0.1478947368421052,0.0,0.2611940298507462,0.7388059701492538,7.421052631578948,14.789473684210524
codebert,librsvg,0.01,0.1,unweighted_mondrian,7.421052631578948,0.0742105263157894,0.0,0.2567164179104477,0.7432835820895523,estimated_weight_no_gate_clip_20,14.789473684210524,0.1478947368421052,0.0,0.2985074626865671,0.7014925373134329,7.421052631578948,14.789473684210524
codebert,librsvg,0.01,0.2,unweighted_mondrian,7.421052631578948,0.0742105263157894,0.0052173913043478,0.3761194029850746,0.6238805970149254,estimated_weight_no_gate_clip_20,14.789473684210524,0.1478947368421052,0.0,0.4074626865671641,0.5925373134328358,7.421052631578948,14.789473684210524
codebert,librsvg,0.05,0.05,unweighted_mondrian,6.157894736842105,0.3078947368421053,0.0,0.4402985074626865,0.5597014925373134,estimated_weight_no_gate_clip_20,9.736842105263158,0.4868421052631578,0.0,0.5283582089552239,0.4716417910447761,6.157894736842105,9.736842105263158
codebert,librsvg,0.05,0.1,unweighted_mondrian,6.157894736842105,0.3078947368421053,0.0,0.4940298507462685,0.5059701492537313,estimated_weight_no_gate_clip_20,9.736842105263158,0.4868421052631578,0.0,0.5656716417910448,0.4343283582089552,6.157894736842105,9.736842105263158
codebert,librsvg,0.05,0.2,unweighted_mondrian,6.157894736842105,0.3078947368421053,0.0052173913043478,0.6134328358208955,0.3865671641791044,estimated_weight_no_gate_clip_20,9.736842105263158,0.4868421052631578,0.0,0.6746268656716418,0.3253731343283582,6.157894736842105,9.736842105263158
codebert,librsvg,0.1,0.05,unweighted_mondrian,4.684210526315789,0.4684210526315789,0.0,0.5716417910447761,0.4283582089552238,estimated_weight_no_gate_clip_20,5.842105263157895,0.5842105263157895,0.0,0.6328358208955224,0.3671641791044776,4.684210526315789,5.842105263157895
codebert,librsvg,0.1,0.1,unweighted_mondrian,4.684210526315789,0.4684210526315789,0.0,0.6253731343283582,0.3746268656716418,estimated_weight_no_gate_clip_20,5.842105263157895,0.5842105263157895,0.0,0.6701492537313433,0.3298507462686567,4.684210526315789,5.842105263157895
codebert,librsvg,0.1,0.2,unweighted_mondrian,4.684210526315789,0.4684210526315789,0.0052173913043478,0.744776119402985,0.2552238805970149,estimated_weight_no_gate_clip_20,5.842105263157895,0.5842105263157895,0.0,0.7791044776119403,0.2208955223880597,4.684210526315789,5.842105263157895
codebert,libtpms,0.01,0.05,unweighted_mondrian,0.0,0.0,0.0,0.057142857142857,0.9428571428571428,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.0285714285714285,0.9714285714285712,0.0,0.0
codebert,libtpms,0.01,0.1,unweighted_mondrian,0.0,0.0,0.0,0.1,0.9,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.073469387755102,0.926530612244898,0.0,0.0
codebert,libtpms,0.01,0.2,unweighted_mondrian,0.0,0.0,0.0,0.2306122448979591,0.7693877551020408,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.1612244897959183,0.8387755102040815,0.0,0.0
codebert,libtpms,0.05,0.05,unweighted_mondrian,1.7522935779816513,0.0876146788990825,0.0,0.2122448979591836,0.7877551020408163,estimated_weight_no_gate_clip_20,1.7522935779816513,0.0876146788990825,0.0,0.2163265306122449,0.7836734693877551,1.7522935779816513,1.7522935779816513
